fact_id,variant_id,is_correct,correct_answer,question,n_tokens,tokens,token_ids,generated_answer
fact_0017,original,True,Kaunas,In what city was Gintautas Umaras born?,11,In | ▁what | ▁city | ▁was | ▁G | inta | utas | ▁U | maras | ▁born | ?,2 886 1212 3413 729 653 16428 23043 752 71363 7565 235336,"**Answer:**  Kaunas, Lithuania"
fact_0017,answer_briefly,True,Kaunas,In what city was Gintautas Umaras born? Answer briefly.,14,In | ▁what | ▁city | ▁was | ▁G | inta | utas | ▁U | maras | ▁born | ? | ▁Answer | ▁briefly | .,2 886 1212 3413 729 653 16428 23043 752 71363 7565 235336 10358 27918 235265,"Gintautas Umaras was born in **Kaunas, Lithuania**."
fact_0017,no_explanation,False,Kaunas,In what city was Gintautas Umaras born? Give only the answer.,16,In | ▁what | ▁city | ▁was | ▁G | inta | utas | ▁U | maras | ▁born | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 886 1212 3413 729 653 16428 23043 752 71363 7565 235336 18712 1297 573 3448 235265,Vilnius
fact_0017,direct_answer,True,Kaunas,Directly answer this factual question: In what city was Gintautas Umaras born?,18,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁In | ▁what | ▁city | ▁was | ▁G | inta | utas | ▁U | maras | ▁born | ?,2 12959 605 3448 736 63914 2872 235292 878 1212 3413 729 653 16428 23043 752 71363 7565 235336,**Answer:**  Kaunas
fact_0021,original,True,Michael Gore,Who was the composer of Fame?,7,Who | ▁was | ▁the | ▁composer | ▁of | ▁Fame | ?,2 6571 729 573 41905 576 34997 235336,"The composer of ""Fame"" is **Michael Gore**."
fact_0021,short_direct,True,Michael Gore,Who is the composer of Fame?,7,Who | ▁is | ▁the | ▁composer | ▁of | ▁Fame | ?,2 6571 603 573 41905 576 34997 235336,"The composer of the iconic musical ""Fame"" is **Michael Gore**."
fact_0021,answer_briefly,False,Michael Gore,Who was the composer of Fame? Answer briefly.,10,Who | ▁was | ▁the | ▁composer | ▁of | ▁Fame | ? | ▁Answer | ▁briefly | .,2 6571 729 573 41905 576 34997 235336 10358 27918 235265,"**Answer:**  
* **Tony Award-winning composer,  ** **8x Grammy Award winner** **, and ** **Broadway legend** **, ** **8x Tony Award winner"
fact_0021,no_explanation,False,Michael Gore,Who was the composer of Fame? Give only the answer.,12,Who | ▁was | ▁the | ▁composer | ▁of | ▁Fame | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 41905 576 34997 235336 18712 1297 573 3448 235265,John Williams
fact_0021,direct_answer,True,Michael Gore,Directly answer this factual question: Who was the composer of Fame?,14,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Fame | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 41905 576 34997 235336,The composer of Fame is **Michael Gore**.
fact_0029,original,False,Quincy Jones,Who was the producer of Human Nature?,8,Who | ▁was | ▁the | ▁producer | ▁of | ▁Human | ▁Nature | ?,2 6571 729 573 21709 576 9998 12734 235336,Human Nature was produced by **David Foster**.
fact_0029,short_direct,True,Quincy Jones,Who is the producer of Human Nature?,8,Who | ▁is | ▁the | ▁producer | ▁of | ▁Human | ▁Nature | ?,2 6571 603 573 21709 576 9998 12734 235336,"Human Nature is a musical group that has been around for a long time. They are known for their unique blend of pop, soul, and gospel music. 

The group's producer has"
fact_0029,answer_briefly,False,Quincy Jones,Who was the producer of Human Nature? Answer briefly.,11,Who | ▁was | ▁the | ▁producer | ▁of | ▁Human | ▁Nature | ? | ▁Answer | ▁briefly | .,2 6571 729 573 21709 576 9998 12734 235336 10358 27918 235265,**Answer:**  The producer of Human Nature is **David Foster**.
fact_0029,no_explanation,False,Quincy Jones,Who was the producer of Human Nature? Give only the answer.,13,Who | ▁was | ▁the | ▁producer | ▁of | ▁Human | ▁Nature | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 21709 576 9998 12734 235336 18712 1297 573 3448 235265,John Shanks
fact_0029,direct_answer,False,Quincy Jones,Directly answer this factual question: Who was the producer of Human Nature?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Human | ▁Nature | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 21709 576 9998 12734 235336,The producer of Human Nature is **David Foster**.
fact_0034,original,False,Philip II of Macedon,Who is the father of Philip III of Macedon?,11,Who | ▁is | ▁the | ▁father | ▁of | ▁Philip | ▁III | ▁of | ▁Maced | on | ?,2 6571 603 573 5842 576 17943 5638 576 108676 477 235336,The father of Philip III of Macedon was **King Amyntas III of Macedon**.
fact_0034,answer_briefly,True,Philip II of Macedon,Who is the father of Philip III of Macedon? Answer briefly.,14,Who | ▁is | ▁the | ▁father | ▁of | ▁Philip | ▁III | ▁of | ▁Maced | on | ? | ▁Answer | ▁briefly | .,2 6571 603 573 5842 576 17943 5638 576 108676 477 235336 10358 27918 235265,Philip II of Macedon was the father of Philip III of Macedon.
fact_0034,no_explanation,True,Philip II of Macedon,Who is the father of Philip III of Macedon? Give only the answer.,16,Who | ▁is | ▁the | ▁father | ▁of | ▁Philip | ▁III | ▁of | ▁Maced | on | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 603 573 5842 576 17943 5638 576 108676 477 235336 18712 1297 573 3448 235265,Philip II of Macedon.
fact_0034,direct_answer,True,Philip II of Macedon,Directly answer this factual question: Who is the father of Philip III of Macedon?,18,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁is | ▁the | ▁father | ▁of | ▁Philip | ▁III | ▁of | ▁Maced | on | ?,2 12959 605 3448 736 63914 2872 235292 7702 603 573 5842 576 17943 5638 576 108676 477 235336,**Answer:**  Philip II of Macedon
fact_0041,original,False,Martin Scorsese,Who was the director of After Hours?,8,Who | ▁was | ▁the | ▁director | ▁of | ▁After | ▁Hours | ?,2 6571 729 573 8453 576 4660 21402 235336,The director of After Hours is **Danny McBride**.
fact_0041,short_direct,False,Martin Scorsese,Who is the director of After Hours?,8,Who | ▁is | ▁the | ▁director | ▁of | ▁After | ▁Hours | ?,2 6571 603 573 8453 576 4660 21402 235336,The director of After Hours is **Danny McBride**.
fact_0041,answer_briefly,False,Martin Scorsese,Who was the director of After Hours? Answer briefly.,11,Who | ▁was | ▁the | ▁director | ▁of | ▁After | ▁Hours | ? | ▁Answer | ▁briefly | .,2 6571 729 573 8453 576 4660 21402 235336 10358 27918 235265,**Answer:**  Danny Boyle
fact_0041,no_explanation,True,Martin Scorsese,Who was the director of After Hours? Give only the answer.,13,Who | ▁was | ▁the | ▁director | ▁of | ▁After | ▁Hours | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 8453 576 4660 21402 235336 18712 1297 573 3448 235265,"Danny Boyle
David Fincher
Martin Scorsese
Spike Lee
**David Fincher**"
fact_0041,direct_answer,True,Martin Scorsese,Directly answer this factual question: Who was the director of After Hours?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁director | ▁of | ▁After | ▁Hours | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 8453 576 4660 21402 235336,The director of After Hours is **Martin Scorsese**.
fact_0043,original,True,Trent Reznor,Who was the composer of The Social Network?,9,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Social | ▁Network | ?,2 6571 729 573 41905 576 714 7524 10824 235336,The Social Network's score was composed by **Trent Reznor** and **Atticus Ross**.
fact_0043,short_direct,True,Trent Reznor,Who is the composer of The Social Network?,9,Who | ▁is | ▁the | ▁composer | ▁of | ▁The | ▁Social | ▁Network | ?,2 6571 603 573 41905 576 714 7524 10824 235336,The Social Network's score was composed by **Trent Reznor** and **Atticus Ross**.
fact_0043,answer_briefly,True,Trent Reznor,Who was the composer of The Social Network? Answer briefly.,12,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Social | ▁Network | ? | ▁Answer | ▁briefly | .,2 6571 729 573 41905 576 714 7524 10824 235336 10358 27918 235265,"**Answer:**  The score for ""The Social Network"" was composed by **Trent Reznor** and **Atticus Ross**."
fact_0043,no_explanation,False,Trent Reznor,Who was the composer of The Social Network? Give only the answer.,14,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Social | ▁Network | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 41905 576 714 7524 10824 235336 18712 1297 573 3448 235265,John Williams
fact_0043,direct_answer,True,Trent Reznor,Directly answer this factual question: Who was the composer of The Social Network?,16,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Social | ▁Network | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 41905 576 714 7524 10824 235336,The composer of The Social Network is **Trent Reznor**.
fact_0049,original,True,Lee Daniels,Who was the producer of Precious?,7,Who | ▁was | ▁the | ▁producer | ▁of | ▁Precious | ?,2 6571 729 573 21709 576 133088 235336,The producer of the movie Precious was **Lee Daniels**.
fact_0049,short_direct,True,Lee Daniels,Who is the producer of Precious?,7,Who | ▁is | ▁the | ▁producer | ▁of | ▁Precious | ?,2 6571 603 573 21709 576 133088 235336,The producer of the movie Precious is **Lee Daniels**.
fact_0049,answer_briefly,False,Lee Daniels,Who was the producer of Precious? Answer briefly.,10,Who | ▁was | ▁the | ▁producer | ▁of | ▁Precious | ? | ▁Answer | ▁briefly | .,2 6571 729 573 21709 576 133088 235336 10358 27918 235265,"**Answer:**  
Geoffrey Fletcher"
fact_0049,no_explanation,True,Lee Daniels,Who was the producer of Precious? Give only the answer.,12,Who | ▁was | ▁the | ▁producer | ▁of | ▁Precious | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 21709 576 133088 235336 18712 1297 573 3448 235265,Lee Daniels
fact_0049,direct_answer,True,Lee Daniels,Directly answer this factual question: Who was the producer of Precious?,14,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Precious | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 21709 576 133088 235336,The answer is: **Lee Daniels**.
fact_0051,original,False,Igor Stravinsky,Who was the composer of Petrushka chord?,10,Who | ▁was | ▁the | ▁composer | ▁of | ▁Pet | rush | ka | ▁chord | ?,2 6571 729 573 41905 576 7040 53984 1161 50591 235336,"The Petrushka chord is a famous musical motif, often used in film and television. It is a dissonant chord that is both beautiful and unsettling. 

The composer of the Pet"
fact_0051,short_direct,True,Igor Stravinsky,Who is the composer of Petrushka chord?,10,Who | ▁is | ▁the | ▁composer | ▁of | ▁Pet | rush | ka | ▁chord | ?,2 6571 603 573 41905 576 7040 53984 1161 50591 235336,"The Petrushka chord is a famous musical motif from Igor Stravinsky's ballet, *Petrushka*. 

It's not a single chord, but a **short,"
fact_0051,answer_briefly,True,Igor Stravinsky,Who was the composer of Petrushka chord? Answer briefly.,13,Who | ▁was | ▁the | ▁composer | ▁of | ▁Pet | rush | ka | ▁chord | ? | ▁Answer | ▁briefly | .,2 6571 729 573 41905 576 7040 53984 1161 50591 235336 10358 27918 235265,**Answer:** Igor Stravinsky
fact_0051,no_explanation,True,Igor Stravinsky,Who was the composer of Petrushka chord? Give only the answer.,15,Who | ▁was | ▁the | ▁composer | ▁of | ▁Pet | rush | ka | ▁chord | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 41905 576 7040 53984 1161 50591 235336 18712 1297 573 3448 235265,Igor Stravinsky
fact_0051,direct_answer,True,Igor Stravinsky,Directly answer this factual question: Who was the composer of Petrushka chord?,17,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁Pet | rush | ka | ▁chord | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 41905 576 7040 53984 1161 50591 235336,The composer of the Petrushka chord is **Igor Stravinsky**.
fact_0053,original,True,Debra Hill,Who was the producer of The Fog?,8,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Fog | ?,2 6571 729 573 21709 576 714 50084 235336,The Fog was produced by **John Carpenter**.
fact_0053,short_direct,True,Debra Hill,Who is the producer of The Fog?,8,Who | ▁is | ▁the | ▁producer | ▁of | ▁The | ▁Fog | ?,2 6571 603 573 21709 576 714 50084 235336,"(1980)

The Fog is a 1980 horror film directed by John Carpenter. 

The film's producer was **John Carpenter**."
fact_0053,answer_briefly,True,Debra Hill,Who was the producer of The Fog? Answer briefly.,11,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Fog | ? | ▁Answer | ▁briefly | .,2 6571 729 573 21709 576 714 50084 235336 10358 27918 235265,**Answer:**  John Carpenter
fact_0053,no_explanation,True,Debra Hill,Who was the producer of The Fog? Give only the answer.,13,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Fog | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 21709 576 714 50084 235336 18712 1297 573 3448 235265,John Carpenter
fact_0053,direct_answer,False,Debra Hill,Directly answer this factual question: Who was the producer of The Fog?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Fog | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 21709 576 714 50084 235336,The Fog was produced by **James Cameron**.
fact_0057,original,True,Pat Proft,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,16,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁The | ▁Naked | ▁Gun | : | ▁From | ▁the | ▁Files | ▁of | ▁Police | ▁Squad | !?,2 6571 729 573 191114 604 714 122568 17083 235292 4845 573 25798 576 12543 38098 29675,The screenwriter for The Naked Gun: From the Files of Police Squad! was **David Zucker**.
fact_0057,short_direct,True,Pat Proft,Who is the screenwriter for The Naked Gun: From the Files of Police Squad!?,16,Who | ▁is | ▁the | ▁screenwriter | ▁for | ▁The | ▁Naked | ▁Gun | : | ▁From | ▁the | ▁Files | ▁of | ▁Police | ▁Squad | !?,2 6571 603 573 191114 604 714 122568 17083 235292 4845 573 25798 576 12543 38098 29675,The screenwriter for The Naked Gun: From the Files of Police Squad! is **David Zucker**.
fact_0057,answer_briefly,False,Pat Proft,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!? Answer briefly.,19,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁The | ▁Naked | ▁Gun | : | ▁From | ▁the | ▁Files | ▁of | ▁Police | ▁Squad | !? | ▁Answer | ▁briefly | .,2 6571 729 573 191114 604 714 122568 17083 235292 4845 573 25798 576 12543 38098 29675 10358 27918 235265,"**Answer:**  
* Leslie Nielsen 
 
**Explanation:** 
Leslie Nielsen was the star of the film and also wrote the screenplay."
fact_0057,no_explanation,False,Pat Proft,Who was the screenwriter for The Naked Gun: From the Files of Police Squad!? Give only the answer.,21,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁The | ▁Naked | ▁Gun | : | ▁From | ▁the | ▁Files | ▁of | ▁Police | ▁Squad | !? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 191114 604 714 122568 17083 235292 4845 573 25798 576 12543 38098 29675 18712 1297 573 3448 235265,Leslie Nielsen
fact_0057,direct_answer,True,Pat Proft,Directly answer this factual question: Who was the screenwriter for The Naked Gun: From the Files of Police Squad!?,23,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁The | ▁Naked | ▁Gun | : | ▁From | ▁the | ▁Files | ▁of | ▁Police | ▁Squad | !?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 191114 604 714 122568 17083 235292 4845 573 25798 576 12543 38098 29675,The screenwriter for The Naked Gun: From the Files of Police Squad! was **David Zucker**.
